,estimator,T,value,measure,design
4,GFE,25,0.027646806874319228,Standard deviation,"N=1000, gamma=2"
5,GFE,30,0.02566344008976583,Standard deviation,"N=1000, gamma=2"
6,GFE,50,0.0181356978344448,Standard deviation,"N=1000, gamma=2"
0,FE,5,0.06371715143212614,Standard deviation,"N=1000, gamma=2"
1,FE,10,0.042227650952058264,Standard deviation,"N=1000, gamma=2"
2,FE,15,0.032661624244929285,Standard deviation,"N=1000, gamma=2"
3,FE,20,0.0291947327552335,Standard deviation,"N=1000, gamma=2"
4,FE,25,0.025338313220988624,Standard deviation,"N=1000, gamma=2"
5,FE,30,0.023862554181744298,Standard deviation,"N=1000, gamma=2"
6,FE,50,0.017228144365111536,Standard deviation,"N=1000, gamma=2"
0,GFE,5,0.5224591998376853,Root MSE,"N=1000, gamma=2"
1,GFE,10,0.16975499480384573,Root MSE,"N=1000, gamma=2"
2,GFE,15,0.08408993957093759,Root MSE,"N=1000, gamma=2"
3,GFE,20,0.05888605561296335,Root MSE,"N=1000, gamma=2"
4,GFE,25,0.0488845155122464,Root MSE,"N=1000, gamma=2"
5,GFE,30,0.04012415178545877,Root MSE,"N=1000, gamma=2"
6,GFE,50,0.023008931183820015,Root MSE,"N=1000, gamma=2"
0,FE,5,0.8799591594775589,Root MSE,"N=1000, gamma=2"
1,FE,10,0.4451369587678575,Root MSE,"N=1000, gamma=2"
2,FE,15,0.300123603147993,Root MSE,"N=1000, gamma=2"
3,FE,20,0.22678763323926593,Root MSE,"N=1000, gamma=2"
4,FE,25,0.18265451408848304,Root MSE,"N=1000, gamma=2"
5,FE,30,0.1535568940944208,Root MSE,"N=1000, gamma=2"
6,FE,50,0.09238114966784182,Root MSE,"N=1000, gamma=2"
0,GFE,5,1.11070630493669,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
1,GFE,10,0.9830996562597007,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
2,GFE,15,0.9803661937521698,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
3,GFE,20,0.8951796722266905,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
4,GFE,25,0.9208958079854724,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
5,GFE,30,0.9034011370436945,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
6,GFE,50,0.984999756647447,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
0,FE,5,1.1381705898503534,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
1,FE,10,1.045731476299244,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
2,FE,15,1.0589537772340578,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
3,FE,20,1.0083087190024707,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
4,FE,25,1.0272877139615901,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
5,FE,30,0.9897999187043454,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
6,FE,50,1.048394712589537,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
